handle,displayName,platform,category,followerCount,postCount,bio,contactValue,campaignId
@seoulglowmarket,Seoul Glow Market,INSTAGRAM,K-Beauty,18400,126,"K-beauty seller account sharing skincare bundles and weekly restock updates.",hello@seoulglowmarket.com,1
@hanskin_select,Han Skin Select,INSTAGRAM,K-Beauty,9600,88,"Curated skincare seller with direct order guidance and customer review highlights.",contact@hanskinselect.com,1
@beautyhanok_shop,Beauty Hanok Shop,INSTAGRAM,K-Beauty,22100,173,"Seller account focused on toner pads, serums, and seasonal gift sets.",partnerships@beautyhanokshop.com,1
@gangnammaskstore,Gangnam Mask Store,INSTAGRAM,Skincare,7400,59,"Mask pack and hydration care seller with limited-time offers.",team@gangnammaskstore.com,1
@kserum_daily,KSerum Daily,INSTAGRAM,Skincare,13200,97,"Daily serum-focused seller account with ingredient explainers and bundle promotions.",hello@kserumdaily.com,1
@glassskin_lane,Glass Skin Lane,INSTAGRAM,K-Beauty,27800,204,"Beauty seller page featuring glow-care routines, starter kits, and reorder links.",connect@glassskinlane.com,1
@myeongdong_beautyhub,Myeongdong Beauty Hub,INSTAGRAM,K-Beauty,31500,248,"Multi-brand beauty seller with campaign launches and store pickup notices.",sales@myeongdongbeautyhub.com,1
@kbeauty_pickmart,KBeauty Pick Mart,INSTAGRAM,K-Beauty,11800,82,"Seller account curating trending Korean beauty products for overseas buyers.",support@kbeautypickmart.com,1
@skinritual_room,Skin Ritual Room,INSTAGRAM,Skincare,8700,63,"Skincare seller with routine-based product bundles and reorder reminders.",team@skinritualroom.com,1
@seoulbeautycart,Seoul Beauty Cart,INSTAGRAM,K-Beauty,15400,111,"K-beauty seller page posting launch calendars, reviews, and product highlights.",hello@seoulbeautycart.com,1
@dailycushionlab,Daily Cushion Lab,INSTAGRAM,Makeup,6900,54,"Makeup seller featuring cushion compacts, shades, and weekly stock updates.",contact@dailycushionlab.com,1
@kglow_wholesale,KGlow Wholesale,TIKTOK,K-Beauty,40200,318,"Wholesale-friendly beauty seller posting catalog previews and buyer FAQs.",biz@kglowwholesale.com,1
@tonerpick_studio,Toner Pick Studio,TIKTOK,Skincare,12500,145,"Short-form content account promoting toner pads and skincare sets for sale.",hello@tonerpickstudio.com,1
@beautyfinder_kr,Beauty Finder KR,TIKTOK,K-Beauty,19800,189,"Product discovery and seller account with direct purchase links in profile.",contact@beautyfinderkr.com,1
@apgujeong_skinbox,Apgujeong Skin Box,INSTAGRAM,K-Beauty,14300,91,"Seller account offering curated monthly skin box packages and preorder drops.",team@apgujeongskinbox.com,1
@oliveglow_supply,Olive Glow Supply,INSTAGRAM,Beauty Accessories,8200,67,"Beauty accessory seller offering organizers, applicators, and combo bundles.",hello@oliveglowsupply.com,1
@ktrend_makeuprack,KTrend Makeup Rack,INSTAGRAM,Makeup,17700,136,"Makeup seller account posting swatches, deal alerts, and restock stories.",partner@ktrendmakeuprack.com,1
@cleanface_select,Clean Face Select,INSTAGRAM,Skincare,10400,79,"Clean skincare seller with curation notes and beginner-friendly sets.",support@cleanfaceselect.com,1
@seoulseller_archive,Seoul Seller Archive,TIKTOK,K-Beauty,28700,233,"Catalog-style seller account highlighting viral Korean skincare and bundles.",sales@seoulsellerarchive.com,1
@dewycart_lab,Dewy Cart Lab,INSTAGRAM,K-Beauty,9100,58,"Beauty seller account focused on hydration picks, sets, and repeat buyer offers.",team@dewycartlab.com,1
